id ,order_id,buy_timestamp,buy_price,buy_amount,buy_cost,buy_fees,closed,sell_timestamp,sell_price,sell_amount,sell_cost,sell_fees,position
11,OW57UD-HWBOR-PSIM2S,2023-10-09T11:55:15,26167.3,0.00011465,3.000080945,0.0042,False,,,,,,1
12,O5ONKF-PO6S3-KKB7QU,2023-10-09T11:56:14,26146.8,0.00011471,2.999299428,0.0042,False,,,,,,1
13,OGNGOP-CVP2R-JFZXZK,2023-10-09T12:00:14,26145.6,0.00011475,3.0002076,0.0042,False,,,,,,1
14,OC5RAA-NPIRR-5I3GF7,2023-10-09T12:01:15,26138.3,0.0001148,3.00067684,0.0042,False,,,,,,1
15,OQ5BPK-MDMVF-I3WSRG,2023-10-09T12:08:15,26159.3,0.00011468,2.999948524,0.0042,False,,,,,,1
16,OEWFTI-BEEWN-4WL53P,2023-10-09T12:09:14,26180.3,0.0001146,3.00026238,0.0042,False,,,,,,1
17,OQZTQE-JZKBR-J2OFI3,2023-10-09T12:10:15,26180.3,0.00011458,2.999738774,0.0042,False,,,,,,1
18,OUGCJC-AS4HD-BI5PXY,2023-10-09T12:11:14,26160.3,0.00011467,2.999801601,0.0042,False,,,,,,1
19,OXZZLF-6DT6M-RFKAMX,2023-10-09T12:12:15,26169.2,0.00011463,2.999775396,0.0042,False,,,,,,1
20,OEGQWH-NYUWL-FPJ52Y,2023-10-09T12:15:15,26160.9,0.00011466,2.999608794,0.0042,False,,,,,,1
21,ORJNHO-Y556U-RBTKGU,2023-10-09T12:16:14,26156.7,0.0001147,3.00017349,0.0042,False,,,,,,1
22,OJDPC5-MEDHI-CSXTIV,2023-10-09T12:17:15,26158.2,0.00011466,2.999299212,0.0042,False,,,,,,1
23,O33PQS-BVDO5-CSPUWS,2023-10-09T12:20:14,26162.1,0.00011466,2.999746386,0.0042,False,,,,,,1
24,OYZJKZ-JO7WX-DFOTYQ,2023-10-09T12:21:15,26150.1,0.00011472,2.999939472,0.0042,False,,,,,,1
25,O5BUDX-PYWO2-S6IYH5,2023-10-09T12:22:14,26137.2,0.00011477,2.999766444,0.0042,False,,,,,,1
26,OPCDWY-BF3VD-NFJFEC,2023-10-09T12:23:15,26157.4,0.00011468,2.999730632,0.0042,False,,,,,,1
27,O34AQM-PHO24-FLX77Y,2023-10-09T12:24:15,26165.7,0.00011465,2.999897505,0.0042,False,,,,,,1
28,O4EDAO-R4HL4-XN2GYO,2023-10-09T12:30:15,26170.0,0.00011463,2.9998671,0.0042,False,,,,,,1
29,O5PHU3-AF4HH-ACEA7Z,2023-10-09T12:31:15,26140.0,0.00011473,2.9990422,0.0042,False,,,,,,1
30,O2CFAH-45W75-BP2VZ2,2023-10-09T12:32:15,26140.2,0.00011476,2.999849352,0.0042,False,,,,,,1
31,O22I2I-HAQSU-MXQMHT,2023-10-09T12:33:14,26167.7,0.00011464,2.999865128,0.0042,False,,,,,,1
32,OE3UIW-RQNGY-EF4X76,2023-10-09T12:34:15,26148.8,0.00011472,2.999790336,0.0042,False,,,,,,1
33,OUI3XA-BWBOI-TMSFNU,2023-10-09T12:38:14,26143.9,0.00011472,2.999228208,0.0042,False,,,,,,1
34,OT3BWA-ZNKQR-3EQHGH,2023-10-09T12:39:15,26136.1,0.00011479,3.000162919,0.0042,False,,,,,,1
35,OXN4UN-PICG3-MFCF3L,2023-10-09T12:40:14,26132.5,0.00011479,2.999749675,0.0042,False,,,,,,1
36,OL6YHE-CD7U2-SR4SWB,2023-10-09T12:41:14,26145.4,0.00011476,3.000446104,0.0042,False,,,,,,1
37,ORQSAJ-2DBCS-GB7TLQ,2023-10-09T12:43:14,26133.0,0.00011479,2.99980707,0.0042,False,,,,,,1
38,OHU4G6-6C24W-BCRO5M,2023-10-09T12:44:15,26115.1,0.00011487,2.999841537,0.0042,False,,,,,,1
39,OEPGU2-VHDBG-ES2K4Q,2023-10-09T12:45:14,26126.0,0.00011478,2.99874228,0.0042,False,,,,,,1
40,OKCTQI-37MPL-DU2MHD,2023-10-09T12:46:19,26123.3,0.00011484,2.999999772,0.0042,False,,,,,,1
41,ORVN4G-C3W3M-3KZQUA,2023-10-09T12:47:14,26106.5,0.0001149,2.99963685,0.0042,False,,,,,,1
42,O3PVAN-A6XO3-2MF4EK,2023-10-09T12:48:15,26121.7,0.00011485,3.000077245,0.0042,False,,,,,,1
43,OG7NYY-X4YK3-5F6WXS,2023-10-09T13:04:15,26128.3,0.00011481,2.999790123,0.0042,False,,,,,,1
44,O33W32-VNGMJ-BRCA4F,2023-10-09T13:05:15,26131.8,0.0001148,2.99993064,0.0042,False,,,,,,1
45,OABLO7-S7Z56-JHNOYX,2023-10-09T13:06:14,26125.5,0.00011482,2.99972991,0.0042,False,,,,,,1
46,ORLM2J-5KAN4-K2JV2V,2023-10-09T13:07:15,26106.6,0.00011491,2.999909406,0.0042,False,,,,,,1
